"MM_YYYY","Physical.Juris.Name","K_people_sum","Persons_Injured_sum","Pedestrians_Killed_sum","Pedestrians_Injured_sum"
"01-2015","000. Arlington County",1,72,0,17
"01-2015","001. Accomack County",0,19,0,0
"01-2015","002. Albemarle County",0,45,0,2
"01-2015","003. Alleghany County",0,10,0,0
"01-2015","004. Amelia County",0,10,0,0
"01-2015","005. Amherst County",0,13,0,0
"01-2015","006. Appomattox County",0,6,0,0
"01-2015","007. Augusta County",0,39,0,0
"01-2015","008. Bath County",0,4,0,0
"01-2015","009. Bedford County",0,40,0,0
"01-2015","010. Bland County",0,5,0,0
"01-2015","011. Botetourt County",0,16,0,0
"01-2015","012. Brunswick County",1,15,0,0
"01-2015","013. Buchanan County",0,7,0,0
"01-2015","014. Buckingham County",0,7,0,2
"01-2015","015. Campbell County",0,26,0,1
"01-2015","016. Caroline County",0,17,0,0
"01-2015","017. Carroll County",1,20,0,0
"01-2015","018. Charles City County",1,1,0,0
"01-2015","019. Charlotte County",1,6,0,0
"01-2015","020. Chesterfield County",1,201,0,1
"01-2015","021. Clarke County",0,12,0,0
"01-2015","022. Craig County",0,0,0,0
"01-2015","023. Culpeper County",0,43,0,1
"01-2015","024. Cumberland County",0,5,0,0
"01-2015","025. Dickenson County",0,4,0,0
"01-2015","026. Dinwiddie County",2,12,0,0
"01-2015","028. Essex County",0,5,0,0
"01-2015","029. Fairfax County",2,507,1,17
"01-2015","030. Fauquier County",1,28,0,0
"01-2015","031. Floyd County",0,14,0,0
"01-2015","032. Fluvanna County",0,4,0,0
"01-2015","033. Franklin County",0,27,0,1
"01-2015","034. Frederick County",1,29,0,0
"01-2015","035. Giles County",0,1,0,0
"01-2015","036. Gloucester County",0,18,0,0
"01-2015","037. Goochland County",0,14,0,0
"01-2015","038. Grayson County",0,7,0,0
"01-2015","039. Greene County",1,6,1,0
"01-2015","040. Greensville County",0,16,0,0
"01-2015","041. Halifax County",2,11,0,0
"01-2015","042. Hanover County",0,48,0,0
"01-2015","043. Henrico County",2,291,0,6
"01-2015","044. Henry County",0,17,0,1
