"x","y","Crash.Severity","Physical.Juris.Name","Crash.Military.Time","Persons.Injured","K_People","Pedestrians.Injured","Pedestrians.Killed","Vehicle.Count","Collision.Type","Weather.Condition","Light.Condition","Roadway.Surface.Condition","Roadway.Defect","Roadway.Description","Intersection.Type","Alcohol.","Unrestrained.","Distracted.","RTE.Name","Crash.Date"
-78.4941878449999,38.06472782,"O","104. City of Charlottesville",1424,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","No","R-VA002SC00743SB","7/28/2015 4:00:00 AM"
-78.4731158439999,38.020433317,"O","104. City of Charlottesville",1605,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","S-VA104PR CARLTON RD","5/22/2015 4:00:00 AM"
-78.48718758,38.0207292540001,"O","104. City of Charlottesville",413,0,0,0,0,1,"16. Other","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR 1ST ST S","9/6/2015 4:00:00 AM"
-78.4905849849999,38.038621543,"O","104. City of Charlottesville",1529,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","R-VA   US00250PABUS001","5/23/2015 4:00:00 AM"
-78.489720833,38.059361433,"O","104. City of Charlottesville",1832,0,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","S-VA104NP HYDRAULIC RD","7/30/2015 4:00:00 AM"
-78.495480425,38.031201509,"B","104. City of Charlottesville",1623,1,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","No","S-VA104NP ROOSEVELT BROWN BLVD","1/19/2015 5:00:00 AM"
-78.492167098,38.0405816350001,"O","104. City of Charlottesville",22,0,0,0,0,1,"9. Fixed Object - Off Road","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","Yes","Belted","Yes","S-VA104PR PRESTON AVE","3/23/2015 4:00:00 AM"
-78.510127105,38.028487797,"O","104. City of Charlottesville",1221,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","R-VA   US00029SBBUS008","2/13/2015 5:00:00 AM"
-78.502307622,38.049864803,"O","104. City of Charlottesville",1013,0,0,0,0,2,"2. Angle","4. Mist","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","3. Three Approaches","No","Belted","Yes","R-VA   US00029SBBUS008","12/28/2015 5:00:00 AM"
-78.462075973,38.0360390220001,"O","104. City of Charlottesville",1118,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","Yes","R-VA   US00250EB","10/16/2015 4:00:00 AM"
-78.483105429,38.0217817860001,"O","104. City of Charlottesville",1838,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","5. Darkness - Road Not Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR 6TH ST SE","11/5/2015 5:00:00 AM"
-78.495703149,38.0361045270001,"O","104. City of Charlottesville",1020,0,0,0,0,2,"2. Angle","5. Rain","6. Darkness - Unknown Road Lighting","2. Wet","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR PAGE ST","9/28/2015 4:00:00 AM"
-78.4995884699999,38.034107824,"O","104. City of Charlottesville",824,0,0,0,0,1,"6. Fixed Object in Road","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","S-VA104PR 14TH ST NW","9/3/2015 4:00:00 AM"
-78.479167902,38.0243323340001,"O","104. City of Charlottesville",1932,0,0,0,0,2,"2. Angle","5. Rain","4. Darkness - Road Lighted","2. Wet","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","No","S-VA104NP AVON ST","1/3/2015 5:00:00 AM"
-78.498337554,38.033379197,"B","104. City of Charlottesville",1324,1,0,0,0,1,"8. Non-Collision","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","R-VA   US00250EBBUS001","8/4/2015 4:00:00 AM"
-78.4758404949999,38.0172101580001,"O","104. City of Charlottesville",47,0,0,0,0,1,"16. Other","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","Yes","Unbelted","No","R-VA   SR00020SB","4/25/2015 4:00:00 AM"
-78.49400293,38.05878963,"B","104. City of Charlottesville",1549,1,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","No","R-VA   US00029NB","7/7/2015 4:00:00 AM"
-78.4706661339999,38.0419547910001,"O","104. City of Charlottesville",823,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","No","S-VA104PR PARK ST","9/2/2015 4:00:00 AM"
-78.484272558,38.0331453920001,"B","104. City of Charlottesville",147,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","Yes","R-VA   US00250EBBUS001","4/12/2015 4:00:00 AM"
-78.475003169,38.042480063,"B","104. City of Charlottesville",1955,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR MCINTIRE RD","12/15/2015 5:00:00 AM"
-78.465137609,38.0428409790001,"O","104. City of Charlottesville",1515,0,0,0,0,2,"5. Sideswipe - Opposite Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","S-VA104NP NORTH AVE","5/9/2015 4:00:00 AM"
-78.4728012369999,38.045533554,"B","104. City of Charlottesville",1534,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104PR JOHN W WARNER PKWY","8/19/2015 4:00:00 AM"
-78.476986032,38.028809648,"O","104. City of Charlottesville",1741,0,0,0,0,1,"9. Fixed Object - Off Road","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","S-VA104NP E WATER ST","5/22/2015 4:00:00 AM"
-78.470319387,38.043710601,"O","104. City of Charlottesville",1441,0,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","Yes","S-VA104PR PARK ST","4/28/2015 4:00:00 AM"
-78.489013304,38.0567898530001,"B","104. City of Charlottesville",905,2,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","S-VA104PR HYDRAULIC RD","1/19/2015 5:00:00 AM"
-78.477747702,38.026516816,"C","104. City of Charlottesville",1510,1,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Belted","No","R-VA   SR00020NB","7/28/2015 4:00:00 AM"
-78.500718332,38.0350432430001,"O","104. City of Charlottesville",1529,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00250EBBUS001","11/15/2015 5:00:00 AM"
-78.502593888,38.0121078330001,"B","104. City of Charlottesville",1933,6,0,0,0,2,"5. Sideswipe - Opposite Direction","5. Rain","4. Darkness - Road Lighted","2. Wet","1. No Defects","2. Two-Way, Divided, Unprotected Median","4. Four Approaches","No","Unbelted","No","S-VA104NP 5TH ST SW","12/26/2015 5:00:00 AM"
-78.495386856,38.057115783,"O","104. City of Charlottesville",1112,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","2. Two Approaches","No","Belted","Yes","R-VA   US00029NBBUS008","1/17/2015 5:00:00 AM"
-78.479352462,38.0371720460001,"C","104. City of Charlottesville",1455,2,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","S-VA104NP MCINTIRE RD","2/15/2015 5:00:00 AM"
-78.479565142,38.0276236460001,"O","104. City of Charlottesville",1356,0,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","S-VA104PR GARRETT ST","11/20/2015 5:00:00 AM"
-78.497755346,38.054256675,"B","104. City of Charlottesville",1821,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00029NBBUS008","2/20/2015 5:00:00 AM"
-78.4902035229999,38.025006375,"B","104. City of Charlottesville",1752,1,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","No","S-VA104NP 5TH ST SW","12/21/2015 5:00:00 AM"
-78.517140984,38.025921098,"O","104. City of Charlottesville",748,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00029NBBUS008","2/13/2015 5:00:00 AM"
-78.5041436939999,38.0569783230001,"B","104. City of Charlottesville",1143,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","5. Loose Material","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","R-VA   US00250EB","12/21/2015 5:00:00 AM"
-78.5019187349999,38.0413908740001,"O","104. City of Charlottesville",59,0,0,0,0,6,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","Yes","Belted","Yes","S-VA104PR UNIVERSITY WAY","2/28/2015 5:00:00 AM"
-78.4806195639999,38.0313651010001,"O","104. City of Charlottesville",2025,0,0,0,0,2,"4. Sideswipe - Same Direction","5. Rain","4. Darkness - Road Lighted","2. Wet","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00250EBBUS001","4/25/2015 4:00:00 AM"
-78.4667666029999,38.067652158,"A","104. City of Charlottesville",1830,3,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","5. Darkness - Road Not Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","R-VA002SC00631SB","1/31/2015 5:00:00 AM"
-78.4617492689999,38.0386902970001,"O","104. City of Charlottesville",229,0,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","Yes","S-VA104PR BELLEVIEW AVE","1/7/2015 5:00:00 AM"
-78.4924736419999,38.0607345000001,"O","104. City of Charlottesville",2015,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","No","R-VA   US00029NB","1/13/2015 5:00:00 AM"
